year,Population,Adults,Children,Singles,Taken,Hunger Deaths,Old Age Deaths,Average Age,Average Hunger,Average Prowess,Average Selfishness,Average Reciprocity
0,21,20,1,6,15,0,0,19.095238095238095,11.904761904761905,48.142857142857146,61.523809523809526,38.476190476190474
1,22,20,2,6,16,0,0,19.227272727272727,11.818181818181818,46.31818181818182,62.95454545454545,37.04545454545455
2,23,20,3,6,17,0,0,19.391304347826086,11.73913043478261,47.391304347826086,63.34782608695652,36.65217391304348
3,25,20,5,8,17,0,0,18.84,13.2,47.2,63.96,36.04
4,27,20,7,8,19,0,0,18.444444444444443,12.962962962962964,48.2962962962963,64.51851851851852,35.48148148148148
5,28,20,8,8,20,0,0,18.785714285714285,11.428571428571429,46.714285714285715,64.5,35.5
6,29,20,9,8,21,0,0,19.137931034482758,11.379310344827585,45.86206896551724,63.13793103448276,36.86206896551724
7,32,20,12,8,24,0,0,18.34375,13.75,49.1875,63.1875,36.8125
8,32,20,12,10,22,0,0,19.34375,10.060304048292089,48.18969595170791,63.1875,36.8125
9,32,20,12,10,22,0,0,20.34375,10.0,48.25,63.1875,36.8125
10,33,20,13,10,23,0,0,20.727272727272727,11.212121212121213,49.121212121212125,62.63636363636363,37.36363636363637
11,33,20,13,10,23,0,0,21.727272727272727,10.0,48.81818181818182,62.63636363636363,37.36363636363637
12,33,20,13,10,23,0,0,22.727272727272727,10.0,48.81818181818182,62.63636363636363,37.36363636363637
13,34,20,14,10,24,0,0,23.058823529411764,11.2900423015301,49.504075345528726,61.205882352941174,38.794117647058826
14,35,20,15,10,25,0,0,23.4,11.142857142857142,49.34285714285714,61.285714285714285,38.714285714285715
15,36,20,16,12,24,0,0,23.75,11.57038222377074,47.707395554007036,62.27777777777778,37.72222222222222
16,38,21,17,12,26,0,0,23.5,12.914100662418152,48.164846706002905,60.23684210526316,39.76315789473684
17,41,22,19,12,29,0,0,22.78048780487805,14.621449789762599,47.524891673652036,58.65853658536585,41.34146341463415
18,43,23,20,14,29,0,0,22.72093023255814,15.033349661419503,43.94339452462701,56.83720930232558,43.16279069767442
19,45,25,20,16,29,0,0,22.711111111111112,15.2745849891869,44.05874834414643,55.733333333333334,44.266666666666666
20,47,27,20,16,31,0,0,22.74468085106383,16.82853034238299,42.02253348740424,55.51063829787234,44.48936170212766
21,47,28,19,16,31,0,0,23.74468085106383,16.290096496121294,40.43330775919785,55.51063829787234,44.48936170212766
22,50,29,21,20,30,0,0,23.32,19.250323148594465,41.60967685140554,53.2,46.8
23,54,32,22,20,34,0,0,22.59259259259259,21.500334101236337,38.92559182468959,53.666666666666664,46.333333333333336
24,56,32,24,20,36,0,0,22.785714285714285,22.09160773710283,36.55124940575432,53.464285714285715,46.535714285714285
25,57,31,26,21,36,0,1,22.596491228070175,20.546794610870556,38.40057381018207,52.91228070175438,47.08771929824562
26,58,32,26,21,37,0,1,23.20689655172414,21.520767429983824,36.85854291484376,52.53448275862069,47.46551724137931
27,58,31,27,20,38,0,2,23.413793103448278,21.25886780017135,36.58595978603555,52.741379310344826,47.258620689655174
28,60,31,29,20,40,0,2,23.633333333333333,22.677665613671113,36.58900105299555,53.45,46.55
