year,Population,Adults,Children,Singles,Taken,Hunger Deaths,Old Age Deaths,Average Age,Average Hunger,Average Prowess,Average Selfishness,Average Reciprocity
0,23,20,3,6,17,0,0,18.391304347826086,15.217391304347826,35.26086956521739,49.04347826086956,50.95652173913044
1,25,20,5,6,19,0,0,17.92,13.2,36.36,46.88,53.12
2,26,20,6,6,20,0,0,18.23076923076923,11.538461538461538,37.80769230769231,45.30769230769231,54.69230769230769
3,27,20,7,6,21,0,0,18.555555555555557,11.481481481481481,37.148148148148145,45.0,55.0
4,29,20,9,6,23,0,0,18.275862068965516,12.758620689655173,37.44827586206897,44.96551724137931,55.03448275862069
5,29,20,9,6,23,0,0,19.275862068965516,10.0,36.758620689655174,44.96551724137931,55.03448275862069
6,29,20,9,6,23,0,0,20.275862068965516,10.0,36.758620689655174,44.96551724137931,55.03448275862069
7,30,20,10,6,24,0,0,20.6,11.333333333333334,36.2,46.766666666666666,53.233333333333334
8,32,20,12,6,26,0,0,20.3125,12.5,38.75,47.96875,52.03125
9,33,20,13,8,25,0,0,20.696969696969695,11.212121212121213,38.878787878787875,49.39393939393939,50.60606060606061
10,36,20,16,8,28,0,0,19.97222222222222,13.333333333333334,38.72222222222222,48.833333333333336,51.166666666666664
11,37,20,17,8,29,0,0,20.43243243243243,11.551575955561713,36.5565321525464,49.78378378378378,50.21621621621622
12,39,20,19,8,31,0,0,20.384615384615383,12.051282051282051,39.256410256410255,51.205128205128204,48.794871794871796
13,40,20,20,8,32,0,0,20.875,11.0,37.95,51.55,48.45
14,40,20,20,8,32,0,0,21.875,10.0,37.7,51.55,48.45
15,42,20,22,10,32,0,0,21.833333333333332,11.904761904761905,38.57142857142857,52.69047619047619,47.30952380952381
16,44,23,21,12,32,0,0,21.84090909090909,12.233349861094057,39.15301377526958,53.81818181818182,46.18181818181818
17,45,25,20,12,33,0,0,22.355555555555554,11.551628667658317,38.44837133234169,54.111111111111114,45.888888888888886
18,49,26,23,12,37,0,0,21.53061224489796,14.328642933879559,38.56931624979391,52.224489795918366,47.775510204081634
19,50,27,23,12,38,0,0,22.1,13.746473783531025,35.553526216468974,52.38,47.62
20,52,29,23,12,40,0,0,22.25,15.113705491290377,34.424756047171165,51.92307692307692,48.07692307692308
21,53,29,24,12,41,0,0,22.830188679245282,16.277933030749345,33.06168961076009,52.339622641509436,47.660377358490564
22,54,29,25,12,42,0,0,23.40740740740741,18.081248024926385,31.622455678777325,52.7962962962963,47.2037037037037
23,57,30,27,14,43,0,0,23.17543859649123,20.33572272609902,31.12041762477817,52.64912280701754,47.35087719298246
24,58,32,26,16,42,0,0,23.775862068965516,21.89877377460224,27.56674346677707,52.46551724137931,47.53448275862069
25,58,33,25,16,42,0,0,24.775862068965516,23.68018791468515,24.923260361176922,52.46551724137931,47.53448275862069
26,57,35,22,17,40,0,1,25.385964912280702,22.668857886419747,26.682019306562708,52.0,48.0
27,58,36,22,17,41,0,1,25.948275862068964,22.589447599878202,26.962276538052834,51.6551724137931,48.3448275862069
28,61,38,23,17,44,0,1,25.672131147540984,24.849299097030446,27.23266811608431,50.75409836065574,49.24590163934426
29,65,39,26,17,48,0,1,25.092307692307692,26.720505714505933,26.941032747032533,50.76923076923077,49.23076923076923
30,65,36,29,16,49,1,3,24.046153846153846,26.12369905663017,27.983993251062135,49.98461538461538,50.01538461538462
31,58,29,29,14,44,6,5,21.689655172413794,23.04633453001177,28.989563924220455,50.43103448275862,49.56896551724138
32,55,30,25,12,43,9,5,21.0,24.040321141443183,27.596042494920454,49.30909090909091,50.69090909090909
33,53,29,24,13,40,10,6,21.132075471698112,22.529413558197042,30.262126300058664,49.471698113207545,50.528301886792455
34,52,32,20,12,40,11,6,21.48076923076923,22.02952618691646,30.64355073616047,50.38461538461539,49.61538461538461
35,50,30,20,10,40,12,7,21.12,19.86509681666796,33.43291118122822,50.58,49.42
36,49,30,19,10,39,14,7,20.224489795918366,20.5333522721037,33.722444243159465,50.40816326530612,49.59183673469388
37,49,30,19,10,39,14,8,20.612244897959183,19.725317750350683,34.723661841486056,49.36734693877551,50.63265306122449
38,52,31,21,14,38,14,8,20.423076923076923,20.45455848658988,36.41082612879473,49.38461538461539,50.61538461538461
39,54,33,21,14,40,14,8,20.666666666666668,20.467532036711262,34.21765314847392,50.148148148148145,49.851851851851855
40,55,35,20,14,41,14,9,20.636363636363637,19.999911015630552,34.472816257096724,50.4,49.6
