year,Population,Adults,Children,Singles,Taken,Hunger Deaths,Old Age Deaths,Average Age,Average Hunger,Average Prowess,Average Selfishness,Average Reciprocity
0,22,20,2,8,14,0,0,27.363636363636363,13.831823977899301,43.12272147664615,30.454545454545453,69.54545454545455
1,25,20,5,8,17,0,0,25.08,14.8,43.44,34.88,65.12
2,26,20,6,8,18,0,0,25.115384615384617,11.538461538461538,43.23076923076923,36.92307692307692,63.07692307692308
3,27,20,7,8,19,0,0,25.185185185185187,11.481481481481481,42.925925925925924,36.74074074074074,63.25925925925926
4,27,20,7,8,19,0,0,26.185185185185187,10.0,42.55555555555556,36.74074074074074,63.25925925925926
5,30,20,10,8,22,0,0,24.566666666666666,14.0,41.5,38.13333333333333,61.86666666666667
6,32,20,12,8,24,0,0,24.03125,12.5,42.59375,38.8125,61.1875
7,32,20,12,10,22,0,0,25.03125,10.0,41.96875,38.8125,61.1875
8,36,20,16,10,26,0,0,23.25,14.444444444444445,41.97222222222222,43.30555555555556,56.69444444444444
9,39,20,19,10,29,0,0,22.46153846153846,13.384706022093283,44.28196064457339,45.256410256410255,54.743589743589745
10,39,20,19,10,29,0,0,23.46153846153846,10.856060954411658,42.96445186610116,45.256410256410255,54.743589743589745
11,41,20,21,10,31,0,0,23.317073170731707,12.115891255285934,44.030450208128705,47.19512195121951,52.80487804878049
12,41,20,21,10,31,0,0,24.317073170731707,10.982927857861913,42.72438921530882,47.19512195121951,52.80487804878049
13,45,20,25,10,35,0,0,23.155555555555555,14.334372974477477,41.95451591441141,47.46666666666667,52.53333333333333
14,47,20,27,10,37,0,0,23.170212765957448,14.694595389330791,39.07136205747772,46.61702127659574,53.38297872340426
15,47,20,27,10,37,0,0,24.170212765957448,14.734792498439807,36.903505373900614,46.61702127659574,53.38297872340426
16,50,22,28,12,38,0,0,23.72,17.178067421005167,35.76193257899484,47.5,52.5
17,54,25,29,12,42,0,0,22.962962962962962,18.41936818404998,37.28433551965372,46.833333333333336,53.166666666666664
18,56,26,30,12,44,0,0,23.142857142857142,19.43039737073204,35.051745486410816,46.44642857142857,53.55357142857143
19,58,27,31,12,46,0,0,23.344827586206897,20.65086558267805,34.745686141459885,46.08620689655172,53.91379310344828
20,59,27,32,14,45,0,0,23.949152542372882,21.59662160433309,33.43727670075165,46.23728813559322,53.76271186440678
21,55,24,31,11,44,6,0,21.12727272727273,20.95423311328167,34.973039613991055,48.527272727272724,51.472727272727276
22,53,23,30,9,44,9,0,19.9811320754717,22.364650172273723,32.40893473338665,50.16981132075472,49.83018867924528
23,50,19,31,10,40,12,1,18.58,19.88714472905881,33.556624603304456,49.84,50.16
24,52,21,31,12,40,13,1,17.826923076923077,22.78611590612352,33.259646138120544,51.92307692307692,48.07692307692308
25,51,23,28,10,41,13,3,17.019607843137255,19.428485805684364,36.434242393631116,53.627450980392155,46.372549019607845
